timestamp, temperature.gpu, temperature.memory, power.draw [W]
2026/06/03 09:58:30.506, 75, N/A, 184.54 W
2026/06/03 09:58:35.507, 77, N/A, 177.40 W
2026/06/03 09:58:40.507, 73, N/A, 176.29 W
2026/06/03 09:58:45.508, 73, N/A, 181.00 W
2026/06/03 09:58:50.509, 73, N/A, 188.28 W
2026/06/03 09:58:55.509, 75, N/A, 175.76 W
2026/06/03 09:59:00.510, 73, N/A, 185.79 W
2026/06/03 09:59:05.511, 73, N/A, 185.87 W
2026/06/03 09:59:10.511, 76, N/A, 171.38 W
2026/06/03 09:59:15.512, 73, N/A, 173.72 W
2026/06/03 09:59:20.512, 74, N/A, 181.27 W
2026/06/03 09:59:25.513, 74, N/A, 191.10 W
2026/06/03 09:59:30.514, 73, N/A, 178.36 W
2026/06/03 09:59:35.514, 74, N/A, 175.28 W
2026/06/03 09:59:40.515, 73, N/A, 184.58 W
2026/06/03 09:59:45.515, 73, N/A, 165.32 W
2026/06/03 09:59:50.516, 74, N/A, 181.90 W
2026/06/03 09:59:55.516, 74, N/A, 192.79 W
2026/06/03 10:00:00.517, 74, N/A, 181.38 W
2026/06/03 10:00:05.517, 73, N/A, 178.78 W
2026/06/03 10:00:10.518, 74, N/A, 178.86 W
2026/06/03 10:00:15.519, 74, N/A, 184.89 W
2026/06/03 10:00:20.519, 73, N/A, 175.15 W
2026/06/03 10:00:25.519, 74, N/A, 181.70 W
2026/06/03 10:00:30.520, 73, N/A, 186.49 W
2026/06/03 10:00:35.520, 75, N/A, 171.04 W
2026/06/03 10:00:40.520, 75, N/A, 167.10 W
2026/06/03 10:00:45.521, 74, N/A, 178.90 W
2026/06/03 10:00:50.521, 74, N/A, 175.49 W
2026/06/03 10:00:55.522, 74, N/A, 183.68 W
2026/06/03 10:01:00.522, 73, N/A, 177.99 W
2026/06/03 10:01:05.523, 75, N/A, 184.33 W
2026/06/03 10:01:10.523, 74, N/A, 178.27 W
2026/06/03 10:01:15.523, 73, N/A, 172.27 W
2026/06/03 10:01:20.524, 74, N/A, 186.36 W
2026/06/03 10:01:25.524, 73, N/A, 176.21 W
2026/06/03 10:01:30.525, 74, N/A, 174.22 W
2026/06/03 10:01:35.525, 74, N/A, 183.22 W
2026/06/03 10:01:40.525, 72, N/A, 167.74 W
2026/06/03 10:01:45.526, 76, N/A, 182.55 W
2026/06/03 10:01:50.527, 76, N/A, 184.83 W
2026/06/03 10:01:55.527, 74, N/A, 185.10 W
2026/06/03 10:02:00.527, 74, N/A, 178.43 W
2026/06/03 10:02:05.528, 73, N/A, 179.32 W
2026/06/03 10:02:10.528, 73, N/A, 177.22 W
2026/06/03 10:02:15.529, 74, N/A, 175.51 W
2026/06/03 10:02:20.529, 73, N/A, 179.11 W
2026/06/03 10:02:25.529, 74, N/A, 184.09 W
2026/06/03 10:02:30.530, 73, N/A, 178.42 W
2026/06/03 10:02:35.530, 74, N/A, 180.36 W
2026/06/03 10:02:40.531, 74, N/A, 179.03 W
2026/06/03 10:02:45.531, 74, N/A, 177.99 W
2026/06/03 10:02:50.532, 73, N/A, 184.39 W
2026/06/03 10:02:55.532, 74, N/A, 183.38 W
2026/06/03 10:03:00.533, 72, N/A, 180.23 W
2026/06/03 10:03:05.533, 76, N/A, 194.95 W
2026/06/03 10:03:10.534, 75, N/A, 177.96 W
2026/06/03 10:03:15.534, 73, N/A, 170.62 W
2026/06/03 10:03:20.535, 74, N/A, 170.82 W
2026/06/03 10:03:25.535, 73, N/A, 174.56 W
2026/06/03 10:03:30.536, 73, N/A, 187.31 W
2026/06/03 10:03:35.536, 73, N/A, 165.23 W
2026/06/03 10:03:40.537, 73, N/A, 182.67 W
2026/06/03 10:03:45.537, 75, N/A, 178.81 W
2026/06/03 10:03:50.538, 72, N/A, 187.15 W
2026/06/03 10:03:55.538, 73, N/A, 181.60 W
2026/06/03 10:04:00.539, 74, N/A, 181.59 W
2026/06/03 10:04:05.539, 72, N/A, 176.15 W
2026/06/03 10:04:10.539, 73, N/A, 185.15 W
2026/06/03 10:04:15.540, 73, N/A, 179.05 W
2026/06/03 10:04:20.540, 73, N/A, 182.22 W
2026/06/03 10:04:25.541, 73, N/A, 187.19 W
2026/06/03 10:04:30.541, 73, N/A, 185.68 W
2026/06/03 10:04:35.542, 75, N/A, 197.80 W
2026/06/03 10:04:40.542, 73, N/A, 168.73 W
2026/06/03 10:04:45.543, 74, N/A, 177.31 W
2026/06/03 10:04:50.544, 74, N/A, 180.40 W
2026/06/03 10:04:55.544, 74, N/A, 181.29 W
2026/06/03 10:05:00.544, 74, N/A, 172.71 W
2026/06/03 10:05:05.545, 73, N/A, 175.92 W
2026/06/03 10:05:10.545, 72, N/A, 168.42 W
2026/06/03 10:05:15.546, 74, N/A, 180.05 W
2026/06/03 10:05:20.547, 74, N/A, 185.89 W
2026/06/03 10:05:25.547, 74, N/A, 176.79 W
2026/06/03 10:05:30.547, 74, N/A, 169.61 W
2026/06/03 10:05:35.548, 73, N/A, 178.81 W
2026/06/03 10:05:40.549, 72, N/A, 183.77 W
2026/06/03 10:05:45.549, 72, N/A, 172.66 W
2026/06/03 10:05:50.549, 75, N/A, 183.56 W
2026/06/03 10:05:55.550, 73, N/A, 176.10 W
2026/06/03 10:06:00.550, 74, N/A, 177.07 W
2026/06/03 10:06:05.551, 74, N/A, 174.02 W
2026/06/03 10:06:10.551, 75, N/A, 182.21 W
2026/06/03 10:06:15.552, 75, N/A, 171.28 W
2026/06/03 10:06:20.552, 74, N/A, 185.91 W
2026/06/03 10:06:25.552, 74, N/A, 183.55 W
2026/06/03 10:06:30.553, 75, N/A, 185.70 W
2026/06/03 10:06:35.553, 73, N/A, 181.52 W
2026/06/03 10:06:40.554, 74, N/A, 186.59 W
2026/06/03 10:06:45.554, 74, N/A, 186.61 W
2026/06/03 10:06:50.554, 72, N/A, 167.87 W
2026/06/03 10:06:55.555, 74, N/A, 186.31 W
2026/06/03 10:07:00.555, 73, N/A, 159.35 W
2026/06/03 10:07:05.556, 73, N/A, 185.42 W
2026/06/03 10:07:10.556, 77, N/A, 186.84 W
2026/06/03 10:07:15.557, 73, N/A, 176.02 W
2026/06/03 10:07:20.557, 74, N/A, 182.71 W
2026/06/03 10:07:25.557, 72, N/A, 166.71 W
2026/06/03 10:07:30.558, 74, N/A, 178.89 W
2026/06/03 10:07:35.559, 74, N/A, 184.60 W
2026/06/03 10:07:40.560, 73, N/A, 180.91 W
2026/06/03 10:07:45.560, 74, N/A, 181.01 W
2026/06/03 10:07:50.560, 73, N/A, 180.19 W
2026/06/03 10:07:55.561, 73, N/A, 181.24 W
2026/06/03 10:08:00.561, 73, N/A, 179.14 W
2026/06/03 10:08:05.562, 73, N/A, 178.16 W
2026/06/03 10:08:10.562, 74, N/A, 185.07 W
2026/06/03 10:08:15.562, 73, N/A, 187.62 W
2026/06/03 10:08:20.563, 74, N/A, 173.70 W
2026/06/03 10:08:25.563, 73, N/A, 183.77 W
2026/06/03 10:08:30.564, 74, N/A, 184.24 W
2026/06/03 10:08:35.564, 74, N/A, 179.35 W
2026/06/03 10:08:40.565, 73, N/A, 172.19 W
2026/06/03 10:08:45.565, 74, N/A, 182.81 W
